,Intensity,Air Wavelength (Å),Spectrum,Reference
2,2,2420.456,Ar II,N73
3,3,2516.789,Ar II,N73
4,3,2534.709,Ar II,N73
5,5,2562.087,Ar II,N73
6,8,2891.612,Ar II,N73
7,70,2942.893,Ar II,N73
8,30,2979.05,Ar II,N73
9,15,3033.508,Ar II,N73
10,15,3093.402,Ar II,N73
11,7,3243.689,Ar II,N73
12,8,3293.64,Ar II,N73
13,7,3307.228,Ar II,N73
14,8,3350.924,Ar II,N73
15,8,3376.436,Ar II,N73
16,8,3388.531,Ar II,N73
17,25,3476.747,Ar II,N73
18,7,3478.232,Ar II,N73
19,15,3491.244,Ar II,N73
20,30,3491.536,Ar II,N73
21,25,3509.778,Ar II,N73
22,25,3514.388,Ar II,N73
23,25,3545.596,Ar II,N73
24,25,3545.845,Ar II,N73
25,30,3559.508,Ar II,N73
26,30,3561.03,Ar II,N73
27,25,3576.616,Ar II,N73
28,8,3581.608,Ar II,N73
29,15,3582.355,Ar II,N73
30,25,3588.441,Ar II,N73
31,8,3622.138,Ar II,N73
32,7,3639.833,Ar II,N73
33,12,3718.206,Ar II,N73
34,25,3729.309,Ar II,N73
35,15,3737.889,Ar II,N73
36,50,3765.27,Ar II,N73
37,15,3766.119,Ar II,N73
38,1,3770.369,Ar I,N73
39,7,3770.52,Ar II,N73
40,8,3780.84,Ar II,N73
41,8,3803.172,Ar II,N73
42,15,3809.456,Ar II,N73
43,25,3850.581,Ar II,N73
44,12,3868.528,Ar II,N73
45,12,3925.719,Ar II,N73
46,15,3928.623,Ar II,N73
47,8,3932.547,Ar II,N73
48,25,3946.097,Ar II,N73
49,1,3948.979,Ar I,N73
50,7,3979.356,Ar II,N73
51,12,3994.792,Ar II,N73
52,15,4013.857,Ar II,N73
53,15,4033.809,Ar II,N73
54,7,4035.46,Ar II,N73
55,50,4042.894,Ar II,N73
56,1,4044.418,Ar I,N73
57,30,4052.921,Ar II,N73
58,70,4072.005,Ar II,N73
59,25,4072.385,Ar II,N73
60,8,4076.628,Ar II,N73
61,12,4079.574,Ar II,N73
62,8,4082.387,Ar II,N73
63,50,4103.912,Ar II,N73
64,100,4131.724,Ar II,N73
65,12,4156.086,Ar II,N73
66,11,4158.59,Ar I,N73
67,1,4164.18,Ar I,N73
68,12,4179.297,Ar II,N73
69,1,4181.884,Ar I,N73
70,3,4190.713,Ar I,N73
71,1,4191.029,Ar I,N73
72,6,4198.317,Ar I,N73
73,11,4200.674,Ar I,N73
74,8,4218.665,Ar II,N73
75,8,4222.637,Ar II,N73
76,8,4226.988,Ar II,N73
77,30,4228.158,Ar II,N73
78,30,4237.22,Ar II,N73
79,1,4251.185,Ar I,N73
80,6,4259.362,Ar I,N73
81,3,4266.286,Ar I,N73
82,25,4266.527,Ar II,N73
83,4,4272.169,Ar I,N73
84,200,4277.528,Ar II,N73
85,7,4282.898,Ar II,N73
86,3,4300.101,Ar I,N73
87,8,4300.65,Ar II,N73
88,25,4309.239,Ar II,N73
89,70,4331.2,Ar II,N73
90,15,4332.03,Ar II,N73
91,3,4333.561,Ar I,N73
92,1,4335.338,Ar I,N73
93,1,4345.168,Ar I,N73
94,250,4348.064,Ar II,N73
95,15,4352.205,Ar II,N73
96,8,4362.066,Ar II,N73
97,15,4367.832,Ar II,N73
98,70,4370.753,Ar II,N73
99,25,4371.329,Ar II,N73
100,15,4375.954,Ar II,N73
101,50,4379.667,Ar II,N73
102,15,4385.057,Ar II,N73
103,25,4400.097,Ar II,N73
104,70,4400.986,Ar II,N73
105,130,4426.001,Ar II,N73
106,50,4430.189,Ar II,N73
107,15,4430.996,Ar II,N73
108,15,4433.838,Ar II,N73
109,7,4439.461,Ar II,N73
110,12,4448.879,Ar II,N73
111,30,4474.759,Ar II,N73
112,70,4481.811,Ar II,N73
113,3,4510.733,Ar I,N73
114,1,4522.323,Ar I,N73
115,7,4530.552,Ar II,N73
116,130,4545.052,Ar II,N73
117,7,4564.405,Ar II,N73
118,130,4579.35,Ar II,N73
119,130,4589.898,Ar II,N73
120,200,4609.567,Ar II,N73
121,12,4637.233,Ar II,N73
122,130,4657.901,Ar II,N73
123,7,4721.591,Ar II,N73
124,200,4726.868,Ar II,N73
125,15,4732.053,Ar II,N73
126,100,4735.906,Ar II,N73
127,250,4764.865,Ar II,N73
128,200,4806.02,Ar II,N73
129,50,4847.81,Ar II,N73
130,15,4865.91,Ar II,N73
131,250,4879.864,Ar II,N73
132,25,4889.042,Ar II,N73
133,7,4904.752,Ar II,N73
134,12,4933.209,Ar II,N73
135,70,4965.08,Ar II,N73
136,15,5009.334,Ar II,N73
137,25,5017.163,Ar II,N73
138,25,5062.037,Ar II,N73
139,7,5090.495,Ar II,N73
140,30,5141.783,Ar II,N73
141,25,5145.308,Ar II,N73
142,8,5165.773,Ar II,N73
143,1,5187.746,Ar I,N73
144,7,5216.814,Ar II,N73
145,1,5495.874,Ar I,N73
146,1,5558.702,Ar I,N73
147,1,5606.733,Ar I,N73
148,1,5650.704,Ar I,N73
149,1,5888.584,Ar I,N73
150,1,5912.085,Ar I,N73
151,2,6032.127,Ar I,N73
152,1,6043.223,Ar I,N73
153,1,6059.372,Ar I,N73
154,30,6114.923,Ar II,N73
155,50,6172.278,Ar II,N73
156,8,6243.12,Ar II,N73
157,1,6384.717,Ar I,N73
158,2,6416.307,Ar I,N73
159,8,6483.082,Ar II,N73
160,8,6638.221,Ar II,N73
161,7,6639.74,Ar II,N73
162,15,6643.698,Ar II,N73
163,8,6666.359,Ar II,N73
164,3,6677.282,Ar I,N73
165,12,6684.293,Ar II,N73
166,4,6752.834,Ar I,N73
167,7,6861.269,Ar II,N73
168,4,6871.289,Ar I,N73
169,1,6937.664,Ar I,N73
170,300,6965.431,Ar I,N73
171,4,7030.251,Ar I,N73
172,300,7067.218,Ar I,N73
173,3,7068.736,Ar I,N73
174,1,7107.478,Ar I,N73
175,1,7125.82,Ar I,N73
176,30,7147.042,Ar I,N73
177,2,7206.98,Ar I,N73
178,60,7272.936,Ar I,N73
179,1,7311.716,Ar I,N73
180,1,7316.005,Ar I,N73
181,2,7353.293,Ar I,N73
182,6,7372.118,Ar I,N73
183,7,7380.426,Ar II,N73
184,300,7383.98,Ar I,N73
185,1,7392.98,Ar I,N73
186,1,7435.368,Ar I,N73
187,600,7503.869,Ar I,N73
188,400,7514.652,Ar I,N73
189,700,7635.106,Ar I,N73
190,400,7723.761,Ar I,N73
191,300,7724.207,Ar I,N73
192,600,7948.176,Ar I,N73
193,600,8006.157,Ar I,N73
194,700,8014.786,Ar I,N73
195,600,8103.693,Ar I,N73
196,1000,8115.311,Ar I,N73
197,300,8264.522,Ar I,N73
198,1,8392.27,Ar I,M73
199,400,8408.21,Ar I,N73
200,600,8424.648,Ar I,N73
201,400,8521.442,Ar I,N73
202,130,8667.944,Ar I,N73
203,7,8771.86,Ar II,N73
204,5,8849.91,Ar I,M73
205,1,9075.394,Ar I,N73
206,1000,9122.967,Ar I,N73
207,15,9194.638,Ar I,N73
208,400,9224.499,Ar I,N73
209,11,9291.531,Ar I,N73
210,50,9354.22,Ar I,N73
211,700,9657.786,Ar I,N73
212,130,9784.503,Ar I,N73
213,5,10052.06,Ar I,M73
214,1,10332.72,Ar I,M73
215,30,10467.177,Ar II,N73
216,50,10470.054,Ar I,N73
217,5,10506.5,Ar I,M73
218,6,10673.565,Ar I,N73
219,2,10683.034,Ar II,N73
220,1,10733.87,Ar I,M73
221,1,10759.16,Ar I,M73
222,2,10812.896,Ar II,N73
223,1,11106.46,Ar I,M73
224,11,11488.109,Ar I,N73
225,6,11668.71,Ar I,N73
226,6,12112.326,Ar I,N73
227,1,12139.738,Ar I,N73
228,1,12343.393,Ar I,N73
229,6,12402.827,Ar I,N73
230,6,12439.321,Ar I,N73
231,3,12456.12,Ar I,N73
232,6,12487.663,Ar I,N73
