

           p           t          cp           h           m          mw         gam         rho
   1.0000E-01  1.0000E+03  5.2033E-01  3.6520E+02  0.0000E+00  3.9948E+01  1.6667E+00  4.8046E-02
   1.0000E-01  2.0000E+03  5.2033E-01  8.8553E+02  0.0000E+00  3.9948E+01  1.6667E+00  2.4023E-02
   1.0000E-01  3.0000E+03  5.2033E-01  1.4059E+03  0.0000E+00  3.9948E+01  1.6667E+00  1.6015E-02
   1.0000E-01  4.0000E+03  5.2034E-01  1.9262E+03  0.0000E+00  3.9948E+01  1.6667E+00  1.2012E-02
   1.0000E-01  5.0000E+03  5.2036E-01  2.4465E+03  0.0000E+00  3.9948E+01  1.6666E+00  9.6092E-03
   1.0000E-01  6.0000E+03  5.2907E-01  2.9700E+03  0.0000E+00  3.9945E+01  1.6512E+00  8.0071E-03
   1.0000E-01  7.0000E+03  5.9126E-01  3.5222E+03  0.0000E+00  3.9915E+01  1.5631E+00  6.8581E-03
   1.0000E-01  8.0000E+03  8.5877E-01  4.2193E+03  0.0000E+00  3.9749E+01  1.3753E+00  5.9759E-03
   1.0000E-01  9.0000E+03  1.6597E+00  5.4154E+03  0.0000E+00  3.9138E+01  1.2257E+00  5.2302E-03
   1.0000E-01  1.0000E+04  3.4980E+00  7.8838E+03  0.0000E+00  3.7499E+01  1.1617E+00  4.5101E-03
   1.0000E-01  1.1000E+04  6.8383E+00  1.2922E+04  0.0000E+00  3.4221E+01  1.1419E+00  3.7416E-03
   1.0000E-01  1.2000E+04  1.0917E+01  2.1851E+04  0.0000E+00  2.9492E+01  1.1409E+00  2.9559E-03
   1.0000E-01  1.3000E+04  1.1856E+01  3.3695E+04  0.0000E+00  2.4933E+01  1.1514E+00  2.3067E-03
   1.0000E-01  1.4000E+04  8.0516E+00  4.3869E+04  0.0000E+00  2.2101E+01  1.1775E+00  1.8986E-03
   1.0000E-01  1.5000E+04  4.2650E+00  4.9869E+04  0.0000E+00  2.0833E+01  1.2325E+00  1.6704E-03
   1.0000E-01  1.6000E+04  2.3774E+00  5.3058E+04  0.0000E+00  2.0334E+01  1.3265E+00  1.5285E-03
   1.0000E-01  1.7000E+04  1.6076E+00  5.4992E+04  0.0000E+00  2.0136E+01  1.4392E+00  1.4245E-03
   1.0000E-01  1.8000E+04  1.3004E+00  5.6423E+04  0.0000E+00  2.0052E+01  1.5305E+00  1.3398E-03
   1.0000E-01  1.9000E+04  1.1754E+00  5.7652E+04  0.0000E+00  2.0015E+01  1.5838E+00  1.2669E-03
   1.0000E+00  1.0000E+03  5.2033E-01  3.6520E+02  0.0000E+00  3.9948E+01  1.6667E+00  4.8046E-01
   1.0000E+00  2.0000E+03  5.2033E-01  8.8553E+02  0.0000E+00  3.9948E+01  1.6667E+00  2.4023E-01
   1.0000E+00  3.0000E+03  5.2033E-01  1.4059E+03  0.0000E+00  3.9948E+01  1.6667E+00  1.6015E-01
   1.0000E+00  4.0000E+03  5.2034E-01  1.9262E+03  0.0000E+00  3.9948E+01  1.6667E+00  1.2012E-01
   1.0000E+00  5.0000E+03  5.2048E-01  2.4466E+03  0.0000E+00  3.9948E+01  1.6664E+00  9.6092E-02
   1.0000E+00  6.0000E+03  5.2309E-01  2.9679E+03  0.0000E+00  3.9947E+01  1.6617E+00  8.0075E-02
   1.0000E+00  7.0000E+03  5.4276E-01  3.4987E+03  0.0000E+00  3.9938E+01  1.6295E+00  6.8619E-02
   1.0000E+00  8.0000E+03  6.2696E-01  4.0746E+03  0.0000E+00  3.9885E+01  1.5271E+00  5.9963E-02
   1.0000E+00  9.0000E+03  8.8144E-01  4.8087E+03  0.0000E+00  3.9688E+01  1.3720E+00  5.3037E-02
   1.0000E+00  1.0000E+04  1.4692E+00  5.9479E+03  0.0000E+00  3.9138E+01  1.2531E+00  4.7072E-02
   1.0000E+00  1.1000E+04  2.5990E+00  7.9278E+03  0.0000E+00  3.7916E+01  1.1920E+00  4.1456E-02
   1.0000E+00  1.2000E+04  4.4561E+00  1.1391E+04  0.0000E+00  3.5698E+01  1.1666E+00  3.5779E-02
   1.0000E+00  1.3000E+04  6.9595E+00  1.7064E+04  0.0000E+00  3.2424E+01  1.1593E+00  2.9998E-02
   1.0000E+00  1.4000E+04  9.2153E+00  2.5241E+04  0.0000E+00  2.8589E+01  1.1621E+00  2.4560E-02
   1.0000E+00  1.5000E+04  9.5039E+00  3.4823E+04  0.0000E+00  2.5133E+01  1.1731E+00  2.0152E-02
