#PHOTRON WAVE DATA
#SheetType,,AwithT
#Date,,2023/5/4
#Time,,11:17:17
#CameraType,,FASTCAM SA5 model 1300K-M1
#CameraID,,12
#AnalogBoardType,,Tracking Camera_1
#FrameRate(fps),,10000
#SaveStep,,1
#ShutterSpeed(sec),,1/10000
#ImageWidth,,896
#ImageHeight,,848
#TriggerMode,,Start
#NumberOfFrames,,120
#FrameRange,,0 to 119
#SamplingRate(sps),,10000
#Sampling/Frame,,1
#NumberOfDatas,,120
#Sloap,,,,1
#Intercept,,,,0
#Integration,,,,0
#OriginalInitialValue,,,,-2.53805e-27

msec,DataNo,FrameNo,SampleNo,tracking 0 X
0.0,0,0,0,
0.1,1,1,0,
0.2,2,2,0,
0.3,3,3,0,
0.4,4,4,0,
0.5,5,5,0,
0.6,6,6,0,
0.7,7,7,0,
0.8,8,8,0,
0.9,9,9,0,
1.0,10,10,0,
1.1,11,11,0,
1.2,12,12,0,
1.3,13,13,0,
1.4,14,14,0,
1.5,15,15,0,
1.6,16,16,0,
1.7,17,17,0,
1.8,18,18,0,
1.9,19,19,0,
2.0,20,20,0,
2.1,21,21,0,
2.2,22,22,0,
2.3,23,23,0,
2.4,24,24,0,
2.5,25,25,0,
2.6,26,26,0,
2.7,27,27,0,
2.8,28,28,0,
2.9,29,29,0,
3.0,30,30,0,
3.1,31,31,0,34.480000
3.2,32,32,0,33.599998
3.3,33,33,0,32.880001
3.4,34,34,0,32.240002
3.5,35,35,0,31.760000
3.6,36,36,0,31.200001
3.7,37,37,0,30.799999
3.8,38,38,0,30.400000
3.9,39,39,0,30.000000
4.0,40,40,0,29.680000
4.1,41,41,0,29.360001
4.2,42,42,0,29.120001
4.3,43,43,0,28.799999
4.4,44,44,0,28.559999
4.5,45,45,0,28.400000
4.6,46,46,0,28.080000
4.7,47,47,0,27.840000
4.8,48,48,0,27.600000
4.9,49,49,0,27.440001
5.0,50,50,0,27.120001
5.1,51,51,0,26.959999
5.2,52,52,0,26.799999
5.3,53,53,0,26.559999
5.4,54,54,0,26.320000
5.5,55,55,0,26.160000
5.6,56,56,0,
5.7,57,57,0,
5.8,58,58,0,
5.9,59,59,0,
6.0,60,60,0,25.360001
6.1,61,61,0,
6.2,62,62,0,
6.3,63,63,0,
6.4,64,64,0,
6.5,65,65,0,
6.6,66,66,0,
6.7,67,67,0,
6.8,68,68,0,
6.9,69,69,0,
7.0,70,70,0,24.000000
7.1,71,71,0,
7.2,72,72,0,
7.3,73,73,0,
7.4,74,74,0,
7.5,75,75,0,
7.6,76,76,0,
7.7,77,77,0,
7.8,78,78,0,
7.9,79,79,0,
8.0,80,80,0,22.879999
8.1,81,81,0,
8.2,82,82,0,
8.3,83,83,0,
8.4,84,84,0,
8.5,85,85,0,
8.6,86,86,0,
8.7,87,87,0,
8.8,88,88,0,
8.9,89,89,0,
9.0,90,90,0,21.920000
9.1,91,91,0,
9.2,92,92,0,
9.3,93,93,0,
9.4,94,94,0,
9.5,95,95,0,
9.6,96,96,0,
9.7,97,97,0,
9.8,98,98,0,
9.9,99,99,0,
10.0,100,100,0,20.959999
10.1,101,101,0,
10.2,102,102,0,
10.3,103,103,0,
10.4,104,104,0,
10.5,105,105,0,
10.6,106,106,0,
10.7,107,107,0,
10.8,108,108,0,
10.9,109,109,0,
11.0,110,110,0,20.320000
11.1,111,111,0,
11.2,112,112,0,
11.3,113,113,0,
11.4,114,114,0,
11.5,115,115,0,
11.6,116,116,0,
11.7,117,117,0,
11.8,118,118,0,
11.9,119,119,0,19.680000
